ENGLISH ,TARAON/TAWRA
He was more than a king.,muwa aa cha shami du tayaa jum
He was not disappointed.,muwa aa cha khudyow hoyum
He was not feeling well.,muwa aa cha naarahoya
He was not happy at all.,muwa aa cha halyo lya hoyum
He was not quick enough.,muwa aa cha tagroo wefreyum
He was really impressed.,muwa aa cha pra wehoya
He was seized with fear.,muwa aa cha rae kaa kuu hoya
He was visibly bothered.,muwa aa cha werue hoya la whiityung
He was wearing a jacket.,muwa aa cha ting kana tinghoya
He was whistling a tune.,muwa aa cha tashe hlaii a
He watches TV every day.,muwa aa cha hinglamung TV whii a
He went out in the rain.,muwa aa cha habung kaara za ke bohoya
He went out of the room.,muwa aa cha nyung nyu gu habung bohoya
He went to Tezu by car.,muwa aa cha Tezu garae gu bohoya
He whistled for his dog.,muwa aa cha kwaue we hlaii a
He will visit his uncle.,muwa aa cha kow ang bobiya
He witnessed the murder.,muwa aa cha mei se whiityung ya
He won't leave me alone.,muwa aa cha haa bo ati biyum
He works in the morning.,muwa aa cha anaya kam jia
He would have succeeded.,muwa aa cha nyu dhueyu hane boya
He wrote to his parents.,muwa aa cha we ma ba tako zua
He zipped up his jacket.,muwa aa cha ting kana tazi mabyu a
He'll be a good husband.,muwa aa cha pra muwa shabiya
He'll be back home soon.,muwa aa cha ang tagroo hanana biya
He'll take care of that.,muwa aa cha achiwe pra whiibiya
He's a cheat and a liar.,muwa aa cha tyung lahalue ma mei kapa ba
He's a community leader.,muwa aa cha mla taya jum
He's a friend from work.,muwa aa cha kampa aatamru
He's a man we can trust.,muwa aa cha ning nyung hanebiya
He's angry at the world.,muwa aa cha tumgu tyung mei mi khamyu a
He's better than us all.,muwa aa cha ning mei dumu pra yuu
He's cleaning his rifle.,muwa aa cha ga geharrue maroo a
He's crazy about soccer.,muwa aa cha soccer khiliya tyung pra we
He's everybody's friend.,muwa aa cha mei mi aatamru ba
He's feeling really low.,muwa aa cha tawe prayum wehoya
He's fluent in mishmi.,muwa aa cha Mishmi pra maro kasa
He's getting suspicious.,muwa aa cha tawe rhuea shaho
He's going to love this.,muwa aa cha awe pra webiya
He's good at cooking.,muwa aa cha tape tyung hayaa kasa
He's got a crush on her.,muwa aa cha miya aa tyung pra wehoya
He's hungry and thirsty.,muwa aa cha shityu ma tyumyu hoya
He's my younger brother.,muwa aa cha haa myum aa
He's on the dance floor.,muwa aa cha biblum ke ehoya
He's only a subordinate.,muwa aa cha haadu a aa yuu
He's sketching an apple.,muwa aa cha apple photo bahoya
He's very understanding.,muwa aa cha tyung wekasaya mei
He's wearing a new coat.,muwa aa cha ting kana mei tinghoya
He's wearing sunglasses.,muwa aa cha balum glaa tyohoya
He's writing a book now.,muwa aa cha tya tako zua 
Health means everything.,tyung tho pra bo jami pra
"Hello there, what's new?","a lai, achikae jadarai mei aa?"
Help me move this stone.,haa awe phlaa hayue brung na
Help me take this apart.,haa awe pityo jiya brungna
Her cooking is the best.,miya aa cha shamidu pra hayaa
Her dog isn't very fast.,miya aa cha kwaue tagroo yum
Her dream has come true.,miya aa cha gade yamu wali shahoya
Her husband is American.,miya aa cha muwa we American
Her salary is very high.,miya aa cha pisha tyung dhue halyaa
Her story can't be true.,miya aa cha hadia we jum yum
Her teacher praised her.,miya aa cha we tawhiya mie pra la
Here is my phone number.,awe haa phone number
Here's a letter for you.,awe nyuba tako
Here's a picture of Tom.,awe tom photo
Here's a piece of paper.,awe taka a aa
Here's my return ticket.,awe haa lyanaya ticket
Here's what I don't get.,ake haa jaa dhue a chung yum
"Hey, I know what I want.",ake haa jaa dhue a haa kasadi
"Hey, look what I can do!","a lai, whiina haa ja dihane"
"Hey, where're you going?","a lai, hanu bodi?"
His advice is of no use.,cha takaue ja kam hanayum
His behavior puzzled me.,cha gade jia we haa hamung kuuya
His birthday is July 29th.,muwa aa cha July 29 gu mae ya
His daughter is a nurse.,muwa aa cha ayaa meinya whii
His dog ran in the yard.,muwa aa cha kwauevwe alyumbru chow a
His handwriting is poor.,muwa aa cha tako zuu we prayum
His house is by a river.,muwa aa cha ang we machae dyue ke
His jokes made us laugh.,muwa aa cha takaue ning maara jia
His jokes make no sense.,muwa aa cha ruu maara we jamu shayum
His mother was a singer.,muwa aa cha maa we tasheya mei ki
His name is known to me.,muwa aa cha amung haa kasadi ki
His book was stolen.,muwa aa cha tako mei akow kuuya
His room is always tidy.,muwa aa cha nyung we kadigumu khrea so
His story can't be true.,muwa aa cha hadi a we jum shue
His story made us laugh.,muwa aa cha hadi a we ning maara ingke jikuuya
His students adored him.,cha tawhiya aa wenung muwa aa cha pra we
His uncle appeared rich.,muwa aa cha kow we nung tyung dyaga dhue sha
Hold it with both hands.,atyo kaingme guu a rona
How about taking a rest?,ing aram jiyam ye?
How are they doing this?,awe chanung gade jiga?
How are things with you?,nyu du jaladuu meu pra ye?
How are you feeling now?,nyu tya gade weshia?
How can I get to heaven?,haa tum gade nyu boya?
How can I make him stop?,haa cha gadegenyu kalyuu jia?
How can I quit this job?,haa awe kam gadenyu maraa hanebiya?
How can you be so cruel?,nyu kade dyue khanyum lei hane?
How can you concentrate?,nyu gade nyu puri hane?
How can you eat so much?,nyu gadenyu dhue kapa tha hane?
How could Tom know that?,Tom gadenyu achiwe kasa hoya?
How did Tom get in here?,Tom anyu gadenyu hanaya?
How did Tom manage that?,tom achiwe gadenyu ji haneya?
How did the fight start?,kadenyu khugaring ya?
How did you get in here?,nyu kadenyu ake hana haneya?
How did you get the job?,nyu kam kadenyu chungya?
How did you guys get in?,anemei lumkoo kadenyu hamaya?
How did you hit on that?,nyu kadenyu awe chow dyabo?
How did you manage that?,nyu kadenyu achiwe jihane dyabo?
How did you people know?,anemei kadenyu kasaring ya?
How do I get reimbursed?,haa pisha kadenyu halya naya?
How do I get to the zoo?,haa zoo kadenyu boya hing?
How do I report a theft?,haa akowya mei takaue kadenyu hadiya hing?
"How do you do that, Tom?",tom nyu achiwe kadenyu jidi?
How do you explain this?,kadenyu nyu awe hadiya?
How do you go to school?,nyu school kadenyu bodi?
How do you know my name?,nyu haa amung kadenyu kasadi?
How do you like it here?,nyu awe ake kadenyu pra wedi?
How do you plan to help?,nyu kadenyu brung hanebiya?
How does Tom make money?,tom pisha kadenyu chung a?
How else can I help you?,haa nyu kadenyu brung hanebiya?
How else can we do this?,ning awe kadenyu ji hanebiya?
How far is it from here?,awe anyugoo kade dyasha?
"How hungry are you, Tom?",tom nyu kadedhue shityuu a?
How is that good for us?,awe ning kanum kadedhue pra?
How is that significant?,achiwe kadedhue tyung pra?
How is the family doing?,anyu mie kade egadi?
How long have you known?,kade raa shaya nyu katyung gayum
How long is this bridge?,awe dolong kade yaa sha?
How long is this pencil?,awe pencil kade yaa sha?
How long were you there?,nyu kade yaa achi ege?
How long will that last?,awe kade yaa elabiya?
How long will this take?,awe kade yaa lagibiya?
How many hours are left?,tya ghanta kadege du aa ha?
How much are the fruits?,masung shei kadege la ha?
How much are you making?,nyu kadege badi?
How much do you love me?,nyu haa kadege pra wedi?
How much is this bag?,awe phlee kadege la ha?
How much is this jacket?,awe ting kana kadege la?
How often do trains run?,rail garae bhue kadege la ha?
How often do you shower?,nyu bhue kadege machae lau tyudi?
"How old are you, anyway?","omatyo, nyu kadege tazai yuu?"
How old is the universe?,tum gutyue kadege tapaue hoya?
How was that overlooked?,achiwe mie nung kadenyu whii jai kuuya?
How will I recognize it?,haa awe kadenyu whii kasabiya?
How would they find out?,nyu kadenyu malla tyung biya?
How would you like that?,nyu kadenyu achiwe pra weshibia?
How've you been keeping?,nyu kade edi?
I accept your challenge.,haa nyu du ladagaya wedi
I actually enjoyed that.,haa jum gu achiwe du halyo shia
I admit it. I was wrong.,haa dyungdi haa ji haa kuuya
I agree with their plan.,haa chanung takaue we dyung di
I almost never watch TV.,haa dhue yuu TV whiidyum
I already speak Italian.,haa italian maro tyapidi
I already told Tom that.,haa tom hanyuu thue laholiya
I already told you that.,haa nyu hayuu thue laholiya
I already told her that.,haa miya aa cha hayuu thue laholiya
I always obey the rules.,haa kadigumu gade niyam mie dyung di
I always walk to school.,haa school kadigumu groo kya bodi
I am a happy person.,haa kadigumu halyoho edi
I am an English teacher.,haa english tawhii di
I am as happy as can be.,haa halyo hanege halyoya edi
I am calling my brother.,haa myum aa amedi
I am disgusted with him.,haa muwa aa cha khamyu shia
I am eighteen years old.,haa kanung halaue lyum sha
I am filled with sorrow.,haa tawe tyung khudyow ho edi
I am following that car.,haa achiwe garae we amedi
I am heating the dinner.,haa taya tape malung di
I am eating the fruit.,haa masung shei thadi
I am loved by my mother.,haa we nama kasa ing a
I am painting my home.,haa gaa ang rong madodi
I am proud of my father.,haa naba shamidu hayu chow hane
I am reading a book now.,haa tya tako puridi
I am studying very hard.,haa hing ya tako mathung puridi
I am the fastest runner.,haa shamidu hayuu chow hane
I am tired from walking.,haa groo kya chaeya whaayum jia
I am too tired to climb.,haa shuu ya whaa lyayum
I am trying to help him.,haa muwa aa cha babrung ya jidi
I am very happy with it.,haa awe du tyung halyo shia
I am wiping the shelves.,haa nyung tadaa nyudi
"I am your friend, right?","haa nyu aatamru, am?"
I answered the question.,haa ahoo a we maroda dyabo
I arrived here just now.,haa tyahi ake hana dyabo
I asked Tom to be quiet.,haa tom mishaa ena ladyabo
I asked Tom to call you.,haa tom nyu marona ladyabo
I beg you to forgive me.,nyu haa prayum wehaya
I believe in friendship.,haa rugaya eya we dyungdi
I believe it to be true.,awe jumla haa dyungdi
I believe it's finished.,awe dung kuya la haa dyung di
I believe you're honest.,nyu tawe tharaue la haa dyung di
I bet Tom was surprised.,haa wedi tom hrrue ku bo
I bought a dozen apples.,haa apple halue kaing braidyabo
I bought a lot of books.,haa tako dhue hi braidyabo
I bought him a magazine.,haa muwa aa ba tako braidyabo
I bought that last year.,haa achiwe hayuu kanung braidyabo
I bought this yesterday.,haa awe balyung hing brai dyabo
I broke both of my legs.,haa groo kaing mei dyukoo ya
I brought you red roses.,haa nyuba she rose shihung dyabo
I brought you something.,haa nyuba kalu tyung shi hung dyabo
I call her pretty often.,haa miya aa cha bhue bhue tyo maro ladi
I came back to help you.,haa nyu babrung ya la lyana dyabo
I came here from Tezu.,haa tezu nyu gu ake hana dyabo
I came here to be alone.,haa ake haapa eya kanum hana dyabo
I came here with my mom.,haa ake haa nama du hana dyabo
I came to give you this.,haa awe nyu hungya hana dyabo
I came to say I'm sorry.,haa hanadyabo nyu prayum weya laya kanum
I can do it without you.,haa nyu ha aa jihane biya
I can do that right now.,haa awe tyahi jihane biya
I can do this all night.,haa awe yasuu jihane biya
I can handle Tom myself.,haa tom tawhi hanebiya
I can hardly believe it.,haa ingmu dyung hane yum
I can look after myself.,haa ga whii hanebiya
"I can ride a horse, too.",haa mu gooraa khe hanebiya
I can see what you mean.,nyu jawe haa whii hane
I can sleep on the sofa.,haa sofa kyaa ing hane biya
I can take you home now.,haa nyu tya ang katyow hanebiya
I can't believe I cried.,haa khrodyabo la weshiyum
I can't believe my ears.,haa jaa tharungtyung dyabo we dyung we dyung whaayum
I can't believe my eyes.,haa jaa whiityung dyabo we dyung whaa yum
I can't comment on that.,haa achiwe kanum maro hane biyam
I can't do it by myself.,haa awe haagahi ji hane biyam
I can't do it right now.,haa tya ji hane biyam
I can't do it that fast.,haa awe tyung tagroo jihane biyam
I can't even look at it.,haa awe ingmu whii hane biyam
I can't figure this out.,haa awe whii kasa hane
I can't find Tom either.,haa tom mu whiityung yum
I can't find a good job.,haa pra kam malla hane yum
I can't find my books.,haa tako malla hane yum
I can't find my luggage.,haa phle malla hane yum
I can't force Tom to go.,haa tom bona la lahane yum
I can't get the lid off.,haa tyue we phaa hane yum
I can't get used to Tom.,haa tom du ruu hane yum
I can't give up smoking.,haa duuya maraa hane yum
I can't go on like this.,haa ali hi ehane biyam
I can't help loving Tom.,haa tom praweya maaraa hane yum
I can't just do nothing.,haa jamu di haneyum
I can't just ignore Tom.,haa tom whii halli haneyum
I can't just lie to Tom.,haa tom lahalue hane yum
I can't keep doing this.,haa awe bhue lyumpa ji haneyum
I can't leave Tom there.,haa tom achi bo ati hane yum
I can't leave my family.,haa anyu nung bo ati hane yum
I can't let Tom do that.,haa tom wali ji shue hane yum
I can't let that happen.,haa wali shaingke ji hane yum
I can't let you do that.,haa nyu wali ji shue whayum
I can't let you risk it.,haa nyu jina la whayum
I can't live without TV.,haa TV ha aa e whayum
I can't pay for the car.,haa garae kanum pisha hung haneyum
I can't play this piece.,haa awe khili kasayum
I can't put up with him.,haa chadu e whayum
I can't read Tom's mind.,haa tom tawe puri kasayum
I can't really remember.,haa jum nyumu wetyung yum
I can't see you anymore.,haa nyu whii whaa lyayum
I can't stand hospitals.,haa tama ang raa e haneyum
I can't stand the noise.,haa mathung rung a tharung haneyum
I can't stand this pain.,haa awe nya ha cho haneyum
I can't stay for dinner.,haa taya tape kanum kalyu haneyum
I can't stay long today.,haa tahing raa balli kalyu haneyum
I can't tell them apart.,haa chanung kaing pityo jihaneyum
I can't tell what it is.,haa jadarai nyu kya la kasayum
I can't untie this knot.,haa nyu maraa hanebiyum
I can't wait to see you.,"haa nyu whiityung my a, kalyu haneyum"
I cannot possibly do it.,haa awe mei pra whiidi
I care about all of you.,haa ane mei pra whii di
I caught him in the act.,haa chawe rotyung dyabo
I consider Tom a friend.,haa tom aa tamru weshia
I consider Tom an idiot.,haa tom kapa dhuege weshia
I consider Tom handsome.,haa tom we mei pra dhuege weshia
I consider you a friend.,haa nyu haa aa tamru wedi
I cooked dinner for Tom.,haa tom ba taya tape hayaa dyabo
I could do this all day.,haa hing me awe jihane dyabo
I could hardly hear him.,haa cha takaue tharung tyung yum
I could hear everything.,haa jaladu mei tharung tyung a
I could use some advice.,haa cha kade laha ingtyo dyung dyabo
I couldn't get to sleep.,haa ingchung hayum
I couldn't help but cry.,"haa babrung hanehayum, khrone jidyabo"
I couldn't sleep at all.,haa hrang ing chung hayum
I couldn't speak English,haa english maro haneyum
I cried on his shoulder.,haa cha rotyu ya khro dyabo
I danced all night long.,haa tayasu bei dyabo
I dashed off the report.,haa takaue pra hadinana
I demand an explanation.,haa takaue tharung hali dyabo
I did something similar.,haa awe dhuege jidyabo
I did that deliberately.,haa awe ji whaa kuuya
I didn't break any laws.,haa jamu ji whayum
I didn't catch any fish.,haa taa rochung yum
I didn't dance with Tom.,haa tom du biyum
I didn't drink the milk.,haa gungki tyum yum
I didn't even know that.,haa awe ba jamu kasayum
I didn't hear you knock.,haa nyu khalung takoo a tharung tyung yum
I didn't know that song.,haa achiwe tashi kasayum ki
I didn't like the price.,haa kadege brue pra we dyum
I didn't make the rules.,haa alijina layum
I didn't need your help.,haa nyu babrungya we dhue yum
I didn't read the story.,haa awe hadi atya tako puriyum
I didn't see any tigers.,haa tamya whityung yum
I didn't see either boy.,haa muwa aa pi mu whityung yum
I didn't see you coming.,haa nyu hanaha whityung yum
I didn't sell Tom those.,haa achiwe nung tom tyue yum
I didn't speak for long.,haa raa maro yum
